课程模块,"毕业要求
课程名称",毕业要求,,,,,
,,1,2,3,4,5,6
思想政治课,中国近现代史纲要,H,H,H,H,H,H
,形势与政策,H,H,H,H,H,H
,思想道德与法治,H,H,H,H,H,H
,毛泽东思想和中国特色社会主义理论体系概论,H,H,H,H,H,H
,习近平新时代中国特色社会主义思想概论,H,H,H,H,H,H
,马克思主义基本原理,H,H,H,H,H,H
通识基础课,大学生职业生涯规划与创业基础,L,M,H,H,H,M
,军事理论,L,M,M,H,H,H
,国家安全教育,H,H,H,H,H,H
,大学生心理健康与人生发展,L,M,L,H,L,L
,体育,L,L,H,H,L,L
,外语A类课程,L,L,M,H,L,L
,数学B类课程,L,H,H,L,L,L
,程序设计及应用,H,H,H,H,M,M
,人工智能与现代科技,H,H,H,H,M,M
通识核心课,通识核心课,L,M,H,H,M,M
学科基础课,政治经济学,H,H,M,H,H,H
,微观经济学,H,H,M,H,H,H
,宏观经济学,H,H,M,H,H,H
,会计学,H,H,H,H,H,H
,计量经济学,H,H,H,H,M,H
大类平台课,货币金融学,H,H,M,H,H,H
,公司金融,H,H,M,H,H,H
,投资学,H,H,M,H,M,H
,金融风险管理,M,H,H,H,M,H
,金融计量学,H,H,H,H,M,H
金融学专业核心课,国际金融学,H,H,M,H,H,H
,商业银行经营管理,H,H,M,H,H,H
,投资银行学,H,H,M,H,H,H
,衍生金融工具,H,H,M,H,H,H
,金融经济学,H,H,H,H,H,H
"金融学
（证券与期货方向）
专业核心课",衍生金融工具,H,H,M,H,H,H
,投资银行学,H,H,M,H,H,H
,固定收益证券,H,H,M,H,H,H
,资产定价,H,H,H,H,H,H
,中国资本市场,H,H,M,H,H,H
"金融学
（双语实验班）
专业核心课",商业银行经营管理（双语）,H,H,M,H,H,H
,国际金融学（双语）,H,H,M,H,H,H
,衍生金融工具（双语）,H,H,M,H,H,H
