,,,,"Comprehensive
English Ⅰ",,,,,,,,,"Compuls
ory","School of
Foreign
Languages
for
Economics
and Trade",,
,,,ENG102,"综合英语Ⅱ
Comprehensive
English Ⅱ",,,3.0,3.0,51,,51,0,"必修
Compuls
ory","外国语学院
School of
Foreign
Languages
for
Economics
and Trade",一,2
,"综合技能
提升",,ENG125,"听说写能力训练
English Listening ，
Speaking and Writing
Competence Training",,,2.0,2.0,34,,0,34,"选修
Elective","外国语学院
School of
Foreign
Languages
for
Economics
and Trade","一
二
三","1-2
1-2
1-2"
,,,,"合计
In Total",,,22,22,374,,306,68,,,,
数学类课程,,,,,,,,,,,,,,,,
"课程
代码
Course
Code",,"课程名称
Course Name",,,"学分
Credits","周学时
Weekly
Hours",,"总课时
Total
Hours","课堂学时
Teaching
Hours","实践学时
Practice
Hours",,"课程性质
Course
Nature",,"开课学院
Course
Department","年级
Grade","学期
Term"
"MAT30
1",,"高等数学Ⅰ
Advanced Mathematics Ⅰ",,,5.0,5.0,,85,85,0,,"必修
Compulsory",,"数学学院
School of
Mathematics",一,1
"MAT21
1",,"线性代数
Linear Algebra",,,3.0,3.0,,51,51,0,,"必修
Compulsory",,"数学学院
School of
Mathematics",一,2
"MAT30
2",,"高等数学Ⅱ
Advanced MathematicsⅡ",,,5.0,5.0,,85,85,0,,"必修
Compulsory",,"数学学院
School of
Mathematics",一,2
"MAT32
8",,"概率论与数理统计B
Probability Theory and
Mathematical Statistics B",,,4.0,4.0,,68,68,0,,"必修
Compulsory",,"统计与数据
科学学院
School of
Statistics and
Data Science",二,1
