,"Chinese Characteristics for a
New Era",,,,,,,,,,,,,,
,"合计
In Total",,,17,23,,287,202,85,,,,,,
“思想政治课程”详见原则性意见附件1。,,,,,,,,,,,,,,,
二、通识课程板块,,,,,,,,,,,,,,,
（一）通识基础课模块,,,,,,,,,,,,,,,
综合素质类课程,,,,,,,,,,,,,,,
"课程
代码
Course
Code","课程名称
Course Name",,,"学分
Credits","周学时
Weekly
Hours",,"总课时
Total
Hours","课堂学时
Teaching
Hours","实践学时
Practice
Hours",,"课程性质
Course
Nature",,"开课学院
Course
Department","年级
Grade","学期
Term"
"HUM10
4","大学生心理健康与人生发展
Mental Health and Career
Development of College
Students",,,2.0,2.0,,34,34,0,,"必修
Compulsory",,"心理健康教
育中心
Mental
Health
Education
Center",一,2
MTT101,"军事理论
Military Theory",,,2.0,2.0,,36,36,0,,"必修
Compulsory",,"武装部
Office of
Arming",一,2
MTT201,"国家安全教育
National Security Education",,,1.0,1.0,,16,16,0,,"必修
Compulsory",,"武装部
Office of
Arming",一,2
JOB100,"大学生职业生涯规划与创业
基础
Career Planning and
Entrepreneurship Foundation
of College Students",,,2.0,3.0,,36,36,0,,"必修
Compulsory",,"学生职业规
划与就业指
导中心
Office of
Admission",二,1
,"合计
In Total",,,7,8,,122,122,0,,,,,,
外语类课程,,,,,,,,,,,,,,,
"课程类别
Course
Classification",,"课程代
码
Course","课程名称
Course Name",,,"学分
Credits","周学时
Weekly
Hours","总课时
Total
Hours",,"课堂学时
Teaching
Hours","实践
学时
Practice","课程性
质
Course","开课学院
Course
Department","年级
Grade","学期
Term"
