,,,,,,,,"and Artificial
Intelligence",,
CST207,"算法分析与设计
Algorithm Analysis and
Design",3.0,3.0,51,45,6,"必修
Compulsory","计算机与人
工智能学院
School of
Computing
and Artificial
Intelligence",二,1
CST205,"数据库原理与应用
Database Theories and
Application",3.0,3.0,51,17,34,"必修
Compulsory","计算机与人
工智能学院
School of
Computing
and Artificial
Intelligence",二,2
DSC321,"机器学习与数据挖掘
Machine Learning and Data
Mining",4.0,4.0,68,50,18,"必修
Compulsory","计算机与人
工智能学院
School of
Computing
and Artificial
Intelligence",二,2
,"合计
In Total",13,13,221,148,73,,,,
（三）专业核心课模块,,,,,,,,,,
计算机科学与技术专业核心课,,,,,,,,,,
"课程
代码
Course
Code","课程名称
Course Name","学分
Credits","周学时
Weekly
Hours","总课时
Total
Hours","课堂学时
Teaching
Hours","实践学时
Practice
Hours","课程性质
Course
Nature","开课学院
Course
Department","年级
Grade","学期
Term"
CST201,"数字逻辑电路
Digital Logical Circuit",3.0,3.0,51,34,17,"必修
Compulsory","计算机与人
工智能学院
School of
Computing
and Artificial
Intelligence",二,1
CST322,"软件工程
Software Engineering",3.0,3.0,51,30,21,"必修
Compulsory","计算机与人
工智能学院
School of
Computing
and Artificial",三,1
