"课程
模块","毕业要求
课程名称",毕业要求,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12
"思想
政治
课程",中国近现代史纲要,H,,,,,,,,,L,,
,形势与政策,M,,,,,,,,,L,,
,思想道德与法治,H,,,L,,L,,,,,,
,"毛泽东思想和中国特
色社会主义理论体系
概论",H,,,,,,,,,,,
,"习近平新时代中国特
色社会主义思想概论",H,,,,,,,,,,,
,马克思主义基本原理,H,,,,,,,,,,,
"通识
教育
基础
课程","大学生职业生涯规划
与创业基础",M,,,,,,,H,L,L,M,M
,军事理论,H,,,L,,,L,,,,,
,国家安全教育,H,,,L,,,L,,,,,
,"大学生心理健康与人
生发展",M,,,,,,,,L,L,,H
,体育,,,,,,,,,H,M,,L
,外语类课程,,,,,,,,,,H,,L
,高等数学,,H,M,,H,,,,,,,
,线性代数,,H,M,,H,,,,,,,
,概率论与数理统计,,H,M,,H,,,,,,,
,离散数学,,M,,M,M,,,,,,,
,程序设计（C语言）,,,,H,,M,M,,,,,
,"面向对象程序设计
（JAVA SE）",,,,H,,M,M,,,,,
"通识
教育
核心
课程",哲学智慧与思维表达,M,,,,,,,,,L,,L
,文史经典与文化传承,H,,,,,,L,,,L,,
,艺术创作与审美体验,,,,,,,L,,,M,,
,世界文明与全球视野,,,,,,,,,,H,,
,科学探索与技术创新,,,,,,,M,,,,,M
"通识
教育
选修
课程",通识教育选修课程,M,,,,,,L,,,M,,L
"学科
基础
课程",大学物理,,,M,M,,M,M,,,,,
,大学物理实验,,H,,M,,M,,,,,,
,数据结构（C语言）,,H,L,H,,,,,,,,
,计算机组成原理,,H,M,M,,,,,,,,
,操作系统,,H,M,M,,,,,,,,
"计算
机类
平台
课程",计算机网络,,H,M,M,,,,,,,,
,算法分析与设计,,H,H,M,M,,,,,,,
,数据库原理与应用,,H,M,M,,,,,,,,
,机器学习与数据挖掘,,H,M,H,,M,M,,,,,
