code,name,credit,hours,type,major
SUFE101,政治经济学,2.0,34,必修,金融学
SUFE102,中级微观经济学,3.0,51,必修,金融学
SUFE103,中级宏观经济学,3.0,51,必修,金融学
SUFE104,投资学,3.0,51,必修,金融学
SUFE105,公司金融,3.0,51,必修,金融学
SUFE106,货币银行学,2.0,34,必修,金融学
SUFE107,国际金融,3.0,51,必修,金融学
SUFE108,金融计量学,3.0,51,必修,金融学
SUFE109,保险学原理,3.0,51,必修,金融学
SUFE110,商业银行经营管理,3.0,51,必修,金融学
SUFE111,金融机构与金融市场,2.0,34,必修,金融学
SUFE112,财务报表分析,2.0,34,必修,金融学
SUFE113,风险管理,2.0,34,必修,金融学
SUFE114,金融科技导论,2.0,34,必修,金融学
SUFE115,固定收益证券,2.0,34,必修,金融学
SUFE116,证券投资分析,2.0,34,必修,金融学
SUFE117,公司兼并收购与重组,2.0,34,必修,金融学
SUFE118,金融工程学,2.0,34,必修,金融学
SUFE119,金融监管,2.0,34,必修,金融学
SUFE120,行为金融学,2.0,34,必修,金融学
SUFE121,资产组合管理,2.0,34,必修,金融学
SUFE122,金融模拟与实验,2.0,34,必修,金融学
SUFECS01,计算机编程(金融),2.0,34,必修,计算机科学与技术
SUFECS02,程序设计基础,3.0,51,必修,计算机科学与技术
SUFECS03,数据结构,3.0,51,必修,计算机科学与技术
SUFECS04,数据库原理,3.0,51,必修,计算机科学与技术
SUFECS05,操作系统,3.0,51,必修,计算机科学与技术
SUFECS06,计算机网络,3.0,51,必修,计算机科学与技术
SUFECS07,算法设计与分析,3.0,51,必修,计算机科学与技术
SUFECS08,软件工程,3.0,51,必修,计算机科学与技术
SUFECS09,人工智能导论,2.0,34,必修,计算机科学与技术
SUFECS10,机器学习,2.0,34,必修,计算机科学与技术
SUFECS11,Python程序设计,2.0,34,必修,计算机科学与技术
SUFECS12,大数据技术,2.0,34,必修,计算机科学与技术
